time,precipitation,precipitation_probability,temperature_2m
2025-12-04T21:00:00.000Z,0.4000000059604645,34,6.80649995803833
2025-12-04T22:00:00.000Z,0.4000000059604645,31,6.856499671936035
2025-12-04T23:00:00.000Z,0.4000000059604645,35,7.05649995803833
2025-12-05T00:00:00.000Z,0.6000000238418579,47,7.05649995803833
2025-12-05T01:00:00.000Z,0.4000000059604645,49,6.856499671936035
2025-12-05T02:00:00.000Z,0.30000001192092896,44,6.9564995765686035
2025-12-05T03:00:00.000Z,0.7000000476837158,40,7.05649995803833
2025-12-05T04:00:00.000Z,0.20000000298023224,23,7.2064995765686035
2025-12-05T05:00:00.000Z,0.800000011920929,34,7.356499671936035
2025-12-05T06:00:00.000Z,0.10000000149011612,25,7.55649995803833
2025-12-05T07:00:00.000Z,0.5,32,7.55649995803833
2025-12-05T08:00:00.000Z,0.30000001192092896,18,7.406499862670898
2025-12-05T09:00:00.000Z,0.20000000298023224,12,7.606499671936035
2025-12-05T10:00:00.000Z,0,10,7.856499671936035
2025-12-05T11:00:00.000Z,0.10000000149011612,6,8.206500053405762
2025-12-05T12:00:00.000Z,0,13,8.856500625610352
2025-12-05T13:00:00.000Z,0,18,8.956500053405762
2025-12-05T14:00:00.000Z,0,16,8.906499862670898
2025-12-05T15:00:00.000Z,0,4,8.906499862670898
2025-12-05T16:00:00.000Z,0,3,8.656499862670898
2025-12-05T17:00:00.000Z,0,1,8.506500244140625
2025-12-05T18:00:00.000Z,0,6,8.456500053405762
2025-12-05T19:00:00.000Z,0,13,8.206500053405762
2025-12-05T20:00:00.000Z,0,3,7.606499671936035
2025-12-05T21:00:00.000Z,0,6,7.4564995765686035
2025-12-05T22:00:00.000Z,0,4,7.356499671936035
2025-12-05T23:00:00.000Z,0,7,7.30649995803833
2025-12-06T00:00:00.000Z,0,3,7.30649995803833
2025-12-06T01:00:00.000Z,0,2,7.2064995765686035
2025-12-06T02:00:00.000Z,0,3,7.05649995803833
2025-12-06T03:00:00.000Z,0,5,6.7064995765686035
2025-12-06T04:00:00.000Z,0,4,6.906499862670898
2025-12-06T05:00:00.000Z,0,4,7.05649995803833
2025-12-06T06:00:00.000Z,0,4,6.9564995765686035
2025-12-06T07:00:00.000Z,0,7,7.106499671936035
2025-12-06T08:00:00.000Z,0.4000000059604645,18,7.106499671936035
2025-12-06T09:00:00.000Z,0.20000000298023224,24,7.256499767303467
2025-12-06T10:00:00.000Z,1,66,7.55649995803833
2025-12-06T11:00:00.000Z,1.100000023841858,68,7.356499671936035
2025-12-06T12:00:00.000Z,0.800000011920929,48,7.9564995765686035
2025-12-06T13:00:00.000Z,0.10000000149011612,24,7.9564995765686035
2025-12-06T14:00:00.000Z,0,8,8.306500434875488
2025-12-06T15:00:00.000Z,0,3,8.156499862670898
2025-12-06T16:00:00.000Z,0,1,8.056500434875488
2025-12-06T17:00:00.000Z,0,0,8.106500625610352
2025-12-06T18:00:00.000Z,0,0,7.9564995765686035
2025-12-06T19:00:00.000Z,0,0,7.7064995765686035
2025-12-06T20:00:00.000Z,0,0,7.506499767303467
2025-12-06T21:00:00.000Z,0,0,7.506499767303467
